"image","patch","method","m","sigma2","lambda","converged","resid"
3,6,"corrected",10,0.000147725185785291,1.21954794816986,1,9.47648903732992e-06
3,6,"corrected",12,0.000145155511593208,1.26127455223862,1,9.75555488286866e-06
3,6,"corrected",15,0.000142405241774652,1.30467627062835,1,9.99675728808726e-06
3,6,"corrected",18,0.000134955689298106,1.41955939907888,1,1.04424576897672e-05
3,7,"naive",NA,0.000165635297019228,1.03026356167749,1,8.15274472676059e-06
3,7,"corrected",10,0.000159971467234497,1.14162929871353,1,9.29534172238056e-06
3,7,"corrected",12,0.000157909048359567,1.17520085462837,1,9.58191549864273e-06
3,7,"corrected",15,0.000152312598558393,1.25935635916277,1,1.01421422254186e-05
3,7,"corrected",18,0.000146545818154461,1.34115394781316,1,1.04965640379036e-05
3,8,"naive",NA,0.000207082590638618,3.16553285198679,1,1.86925562243945e-05
3,8,"corrected",10,0.000195721108881783,3.91059352552358,1,1.89878657316724e-05
3,8,"corrected",12,0.000194519846897946,4.00644094167321,1,1.90586976456583e-05
3,8,"corrected",15,0.000191929350729712,4.23961108299494,1,1.92004209022485e-05
3,8,"corrected",18,0.000188264385902379,4.66915883271213,1,1.94432097066613e-05
3,9,"naive",NA,6.15058120374259e-05,5.9640914148917,1,9.87368479661834e-06
3,9,"corrected",10,5.89737929925783e-05,8.69636262606012,1,1.01170351408069e-05
3,9,"corrected",12,5.90225988743777e-05,9.58881314703319,1,1.01734514281737e-05
3,9,"corrected",15,5.95703647096322e-05,10.8798761856377,1,1.02375433638112e-05
3,9,"corrected",18,6.06291192130144e-05,12.2913544376585,1,1.02880434001714e-05
4,1,"naive",NA,0.000114324450005721,3.23824945735802,1,1.71854404580857e-05
4,1,"corrected",10,9.44381239518717e-05,4.84586164864045,1,1.77064930094608e-05
4,1,"corrected",12,9.21342635681433e-05,5.21415488267238,1,1.78014064121916e-05
4,1,"corrected",15,8.98848803736231e-05,5.68997267860548,1,1.79159245514219e-05
4,1,"corrected",18,8.92025197423059e-05,5.86757240276366,1,1.79643858092552e-05
4,2,"naive",NA,0.000355488878040601,1.26767085928636,1,3.43426119668775e-05
4,2,"corrected",10,0.000340021410306306,1.40230412307151,1,3.49148183008073e-05
4,2,"corrected",12,0.00033868981888592,1.41326123075048,1,3.49696635866168e-05
4,2,"corrected",15,0.000339616742297632,1.40547203133842,1,3.4947860471383e-05
